id,participant,date,secondary_task,episode_number,n_distractors,n_targets,angle_max,angle_min,radius,speed_min,speed_max,RSI,SRI_max,presentation_time,fixation_time,tracking_time,probe_time,nb_target_retrieved,nb_distract_retrieved,id_session,finished_session
3853,camille,2020-10-15 22:00:00+00:00,none,1202,8,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.8,3,4,0,False
3852,camille,2020-10-15 22:00:00+00:00,none,1201,7,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.5,2.8,4,6,0,False
3851,camille,2020-10-15 22:00:00+00:00,none,1200,7,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,5.0,3.4,3,6,0,False
3850,camille,2020-10-15 22:00:00+00:00,none,1199,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,4.5,2.2,3,7,0,False
3849,camille,2020-10-15 22:00:00+00:00,none,1198,7,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,5.0,3.8,2,3,0,False
3848,camille,2020-10-15 22:00:00+00:00,none,1197,6,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.5,3.8,4,5,0,False
3847,camille,2020-10-15 22:00:00+00:00,none,1196,7,3,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.8,2,6,0,False
3846,camille,2020-10-15 22:00:00+00:00,none,1195,7,3,9,3,90,6.5,6.5,1.0,2.0,1.0,1.0,7.0,3.0,2,3,0,False
3845,camille,2020-10-15 22:00:00+00:00,none,1194,7,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,4.5,2.4,3,6,0,False
3844,camille,2020-10-15 22:00:00+00:00,none,1193,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,7.0,3.2,2,6,0,False
3843,camille,2020-10-15 22:00:00+00:00,none,1192,8,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,5,8,0,False
3842,camille,2020-10-15 22:00:00+00:00,none,1191,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3841,camille,2020-10-15 22:00:00+00:00,none,1190,8,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,5.0,3.4,3,7,0,False
3840,camille,2020-10-15 22:00:00+00:00,none,1189,8,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.5,2.5999999999999996,2,6,0,False
3839,camille,2020-10-15 22:00:00+00:00,none,1188,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3838,camille,2020-10-15 22:00:00+00:00,none,1187,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3837,camille,2020-10-15 22:00:00+00:00,none,1186,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3836,camille,2020-10-15 22:00:00+00:00,none,1185,6,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,3,4,0,False
3835,camille,2020-10-15 22:00:00+00:00,none,1184,7,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.5,2.5999999999999996,2,7,0,False
3834,camille,2020-10-15 22:00:00+00:00,none,1183,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,6,0,False
3833,camille,2020-10-15 22:00:00+00:00,none,1182,7,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,5.0,3.2,3,6,0,False
3832,camille,2020-10-15 22:00:00+00:00,none,1181,6,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.5,3.8,4,6,0,False
3831,camille,2020-10-15 22:00:00+00:00,none,1180,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,7.0,3.2,3,7,0,False
3830,camille,2020-10-15 22:00:00+00:00,none,1179,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,6.0,2.2,2,6,0,False
3829,camille,2020-10-15 22:00:00+00:00,none,1178,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3828,camille,2020-10-15 22:00:00+00:00,none,1177,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,5,0,False
3827,camille,2020-10-15 22:00:00+00:00,none,1176,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3826,camille,2020-10-15 22:00:00+00:00,none,1175,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3825,camille,2020-10-15 22:00:00+00:00,none,1174,7,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.5,2.8,3,6,0,False
3824,camille,2020-10-15 22:00:00+00:00,none,1173,6,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,3.5,3.8,5,5,0,False
3823,camille,2020-10-15 22:00:00+00:00,none,1172,7,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.0,3.4,4,7,0,False
3822,camille,2020-10-15 22:00:00+00:00,none,1171,6,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,4.5,3.8,1,5,0,False
3821,camille,2020-10-15 22:00:00+00:00,none,1170,6,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.2,3,5,0,False
3820,camille,2020-10-15 22:00:00+00:00,none,1169,6,5,9,3,90,2.5,2.5,1.0,2.0,1.0,1.0,4.5,3.6,3,3,0,False
3819,camille,2020-10-15 22:00:00+00:00,none,1168,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,4.5,2.4,2,6,0,False
3818,camille,2020-10-15 22:00:00+00:00,none,1167,7,4,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.5,3.4,4,7,0,False
3817,camille,2020-10-15 22:00:00+00:00,none,1166,7,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.5,3.8,5,7,0,False
3816,camille,2020-10-15 22:00:00+00:00,none,1165,7,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,3.5,3.6,5,6,0,False
3815,camille,2020-10-15 22:00:00+00:00,none,1164,6,5,9,3,90,2.5,2.5,1.0,2.0,1.0,1.0,3.5,3.8,5,6,0,False
3814,camille,2020-10-15 22:00:00+00:00,none,1163,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,3.5,3.0,3,7,0,False
3813,camille,2020-10-15 22:00:00+00:00,none,1162,6,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,5.0,3.8,4,5,0,False
3812,camille,2020-10-15 22:00:00+00:00,none,1161,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,5,0,False
3811,camille,2020-10-15 22:00:00+00:00,none,1160,7,3,9,3,90,5.5,5.5,1.0,2.0,1.0,1.0,6.5,3.0,3,5,0,False
3810,camille,2020-10-15 22:00:00+00:00,none,1159,8,5,9,3,90,2.5,2.5,1.0,2.0,1.0,1.0,3.5,3.6,5,7,0,False
3809,camille,2020-10-15 22:00:00+00:00,none,1158,8,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,3.5,3.4,4,7,0,False
3808,camille,2020-10-15 22:00:00+00:00,none,1157,8,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,3.0,3.4,4,7,0,False
3807,camille,2020-10-15 22:00:00+00:00,none,1156,8,4,9,3,90,5.0,5.0,1.0,2.0,1.0,1.0,4.5,2.4,4,8,0,False
3806,camille,2020-10-15 22:00:00+00:00,none,1155,8,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.0,3.8,3,7,0,False
3805,camille,2020-10-15 22:00:00+00:00,none,1154,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,5.5,2.8,2,4,0,False
3803,camille,2020-10-15 22:00:00+00:00,none,1153,8,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.0,3.8,2,8,0,False
3801,camille,2020-10-15 22:00:00+00:00,none,1152,8,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,2,3,0,False
3799,camille,2020-10-15 22:00:00+00:00,none,1151,8,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.0,4.0,5,8,0,False
3798,camille,2020-10-15 22:00:00+00:00,none,1150,7,4,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,4.5,3.4,4,7,0,False
3797,camille,2020-10-15 22:00:00+00:00,none,1149,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,7.0,2.2,3,7,0,False
3796,camille,2020-10-15 22:00:00+00:00,none,1148,8,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,5.5,3.4,4,8,0,False
3795,camille,2020-10-15 22:00:00+00:00,none,1147,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3794,camille,2020-10-15 22:00:00+00:00,none,1146,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,5,0,False
3793,camille,2020-10-15 22:00:00+00:00,none,1145,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,6,0,False
3792,camille,2020-10-15 22:00:00+00:00,none,1144,8,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,5.5,3.6,4,6,0,False
3791,camille,2020-10-15 22:00:00+00:00,none,1143,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,5.5,2.0,2,6,0,False
3790,camille,2020-10-15 22:00:00+00:00,none,1142,7,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.5,3.4,3,4,0,False
3789,camille,2020-10-15 22:00:00+00:00,none,1141,8,5,9,3,90,2.5,2.5,1.0,2.0,1.0,1.0,5.0,3.6,5,8,0,False
3788,camille,2020-10-15 22:00:00+00:00,none,1140,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,5,0,False
3787,camille,2020-10-15 22:00:00+00:00,none,1139,7,3,9,3,90,6.5,6.5,1.0,2.0,1.0,1.0,6.0,3.2,2,4,0,False
3786,camille,2020-10-15 22:00:00+00:00,none,1138,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,4,0,False
3785,camille,2020-10-15 22:00:00+00:00,none,1137,7,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,5.5,2.2,4,7,0,False
3783,camille,2020-10-15 22:00:00+00:00,none,3281,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,7.0,2.8,3,7,0,False
3782,camille,2020-10-15 22:00:00+00:00,none,3280,6,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,3.5,3.8,5,6,0,False
3781,camille,2020-10-15 22:00:00+00:00,none,3279,8,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.0,3.8,3,7,0,False
3780,camille,2020-10-15 22:00:00+00:00,none,3278,8,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,5.5,4.0,4,7,0,False
3779,camille,2020-10-15 22:00:00+00:00,none,3277,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,5,0,False
3778,camille,2020-10-15 22:00:00+00:00,none,3276,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,6.0,2.8,3,6,0,False
3777,camille,2020-10-15 22:00:00+00:00,none,3275,8,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,5.0,3.4,4,8,0,False
3776,camille,2020-10-15 22:00:00+00:00,none,3274,8,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,4,4,0,False
3775,camille,2020-10-15 22:00:00+00:00,none,3273,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,4,0,False
3774,camille,2020-10-15 22:00:00+00:00,none,3272,7,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.0,3.8,3,4,0,False
3773,camille,2020-10-15 22:00:00+00:00,none,3271,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,7.0,3.2,3,7,0,False
3772,camille,2020-10-15 22:00:00+00:00,none,3270,6,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,4.0,3.2,3,5,0,False
3771,camille,2020-10-15 22:00:00+00:00,none,3269,7,4,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,5.0,3.8,3,4,0,False
3770,camille,2020-10-15 22:00:00+00:00,none,3268,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,5,0,False
3769,camille,2020-10-15 22:00:00+00:00,none,3267,7,4,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.5,3.6,3,6,0,False
3768,camille,2020-10-15 22:00:00+00:00,none,3266,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3767,camille,2020-10-15 22:00:00+00:00,none,3265,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,6.0,2.0,1,7,0,False
3766,camille,2020-10-15 22:00:00+00:00,none,3264,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,5,0,False
3765,camille,2020-10-15 22:00:00+00:00,none,3263,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,6.0,2.4,3,6,0,False
3764,camille,2020-10-15 22:00:00+00:00,none,3262,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,0,2,0,False
3763,camille,2020-10-15 22:00:00+00:00,none,3261,6,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.0,3.2,5,6,0,False
3762,camille,2020-10-15 22:00:00+00:00,none,3260,8,4,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,4.5,3.8,2,4,0,False
3761,camille,2020-10-15 22:00:00+00:00,none,3259,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,6.0,2.0,3,7,0,False
3760,camille,2020-10-15 22:00:00+00:00,none,3258,7,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,5.0,3.4,2,3,0,False
3759,camille,2020-10-15 22:00:00+00:00,none,3257,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,2,6,0,False
3758,camille,2020-10-15 22:00:00+00:00,none,3256,7,3,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,7.0,3.2,3,7,0,False
3757,camille,2020-10-15 22:00:00+00:00,none,3255,8,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.5,3.2,0,8,0,False
3756,camille,2020-10-15 22:00:00+00:00,none,3254,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,7.0,2.2,3,7,0,False
3755,camille,2020-10-15 22:00:00+00:00,none,3253,8,4,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.5,3.2,4,8,0,False
3754,camille,2020-10-15 22:00:00+00:00,none,3252,7,3,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,6.5,2.2,0,3,0,False
3753,camille,2020-10-15 22:00:00+00:00,none,3251,6,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.5,3.2,0,6,0,False
3752,camille,2020-10-15 22:00:00+00:00,none,3250,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,5.5,3.2,2,6,0,False
3751,camille,2020-10-15 22:00:00+00:00,none,3249,6,2,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,7.0,2.0,1,6,0,False
3750,camille,2020-10-15 22:00:00+00:00,none,3248,7,3,9,3,90,5.5,5.5,1.0,2.0,1.0,1.0,6.0,2.5999999999999996,2,7,0,False
3749,camille,2020-10-15 22:00:00+00:00,none,3247,8,4,9,3,90,5.5,5.5,1.0,2.0,1.0,1.0,5.0,3.2,2,5,0,False
3748,camille,2020-10-15 22:00:00+00:00,none,3246,7,3,9,3,90,7.0,7.0,1.0,2.0,1.0,1.0,6.0,2.0,1,7,0,False
3747,camille,2020-10-15 22:00:00+00:00,none,3245,6,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,5.0,4.0,5,6,0,False
3746,camille,2020-10-15 22:00:00+00:00,none,3244,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,6.0,3.2,3,5,0,False
3745,camille,2020-10-15 22:00:00+00:00,none,3243,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,6.0,3.0,3,7,0,False
3744,camille,2020-10-15 22:00:00+00:00,none,3242,7,5,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,4.0,3.2,4,6,0,False
3743,camille,2020-10-15 22:00:00+00:00,none,3241,8,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,4.0,3.6,5,8,0,False
3742,camille,2020-10-15 22:00:00+00:00,none,3240,7,3,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,6.0,2.5999999999999996,3,7,0,False
3741,camille,2020-10-15 22:00:00+00:00,none,3239,8,4,9,3,90,3.5,3.5,1.0,2.0,1.0,1.0,5.0,2.8,2,6,0,False
3740,camille,2020-10-15 22:00:00+00:00,none,3238,7,3,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,6.0,2.0,3,7,0,False
3739,camille,2020-10-15 22:00:00+00:00,none,3237,7,3,9,3,90,4.5,4.5,1.0,2.0,1.0,1.0,6.0,2.0,2,7,0,False
3738,camille,2020-10-15 22:00:00+00:00,none,3236,8,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,5.0,3.8,3,7,0,False
3737,camille,2020-10-15 22:00:00+00:00,none,3235,6,5,9,3,90,2.0,2.0,1.0,2.0,1.0,1.0,5.0,3.4,5,6,0,False
3736,camille,2020-10-15 22:00:00+00:00,none,3234,7,3,9,3,90,4.0,4.0,1.0,2.0,1.0,1.0,7.0,2.2,3,7,0,False
3735,camille,2020-10-15 22:00:00+00:00,none,3233,7,3,9,3,90,6.0,6.0,1.0,2.0,1.0,1.0,5.5,3.0,3,7,0,False
3734,camille,2020-10-15 22:00:00+00:00,none,3232,7,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,5.0,3.6,4,7,0,False
3733,camille,2020-10-15 22:00:00+00:00,none,3231,7,5,9,3,90,3.0,3.0,1.0,2.0,1.0,1.0,3.5,3.4,5,7,0,False
